/nfs/s2/userhome/tianjinhua/workingdir/vgg_train/newSample/tl2/validate2
stimID,condition
n0000070431_03.jpg,n000007
n0000070003_01.jpg,n000007
n0000070202_01.jpg,n000007
n0000070006_02.jpg,n000007
n0000070075_03.jpg,n000007
n0000070196_01.jpg,n000007
n0000070026_01.jpg,n000007
n0000070141_03.jpg,n000007
n0000070335_03.jpg,n000007
n0000070052_01.jpg,n000007
n0000070132_01.jpg,n000007
n0000070082_01.jpg,n000007
n0000070108_01.jpg,n000007
n0000070097_01.jpg,n000007
n0000070427_01.jpg,n000007
n0000070012_01.jpg,n000007
n0000070071_01.jpg,n000007
n0000070091_01.jpg,n000007
n0000070192_01.jpg,n000007
n0000070161_01.jpg,n000007
n0000070146_02.jpg,n000007
n0000070169_01.jpg,n000007
n0000070057_01.jpg,n000007
n0000070193_03.jpg,n000007
n0000070110_02.jpg,n000007
n0000070221_02.jpg,n000007
n0000070080_01.jpg,n000007
n0000070182_02.jpg,n000007
n0000070030_01.jpg,n000007
n0000070035_01.jpg,n000007
n0000070123_01.jpg,n000007
n0000070163_01.jpg,n000007
n0000070168_01.jpg,n000007
n0000070031_01.jpg,n000007
n0000070157_01.jpg,n000007
n0000070021_01.jpg,n000007
n0000070218_01.jpg,n000007
n0000070103_01.jpg,n000007
n0000070185_01.jpg,n000007
n0000070411_02.jpg,n000007
n0000070039_01.jpg,n000007
n0000070425_01.jpg,n000007
n0000070140_02.jpg,n000007
n0000070212_05.jpg,n000007
n0000070219_02.jpg,n000007
n0000070050_02.jpg,n000007
n0000070007_01.jpg,n000007
n0000070151_03.jpg,n000007
n0000070015_01.jpg,n000007
n0000070430_01.jpg,n000007
n0000080315_01.jpg,n000008
n0000080065_01.jpg,n000008
n0000080004_01.jpg,n000008
n0000080217_01.jpg,n000008
n0000080003_01.jpg,n000008
n0000080335_01.jpg,n000008
n0000080288_03.jpg,n000008
n0000080193_01.jpg,n000008
n0000080298_01.jpg,n000008
n0000080277_01.jpg,n000008
n0000080196_01.jpg,n000008
n0000080310_01.jpg,n000008
n0000080026_01.jpg,n000008
n0000080052_01.jpg,n000008
n0000080132_01.jpg,n000008
n0000080082_01.jpg,n000008
n0000080243_01.jpg,n000008
n0000080058_01.jpg,n000008
n0000080108_01.jpg,n000008
n0000080097_01.jpg,n000008
n0000080319_01.jpg,n000008
n0000080012_01.jpg,n000008
n0000080091_01.jpg,n000008
n0000080331_01.jpg,n000008
n0000080161_01.jpg,n000008
n0000080169_01.jpg,n000008
n0000080057_01.jpg,n000008
n0000080040_01.jpg,n000008
n0000080221_02.jpg,n000008
n0000080203_01.jpg,n000008
n0000080213_01.jpg,n000008
n0000080177_01.jpg,n000008
n0000080145_01.jpg,n000008
n0000080080_01.jpg,n000008
n0000080259_01.jpg,n000008
n0000080030_01.jpg,n000008
n0000080326_01.jpg,n000008
n0000080324_01.jpg,n000008
n0000080022_01.jpg,n000008
