/nfs/h1/workingshop/tianjinhua/vgg_train/vgg_pretrained_tl/tl_train
stimID,condition
n0000030001_01.jpg,n000003
n0000030002_01.jpg,n000003
n0000030003_01.jpg,n000003
n0000030004_02.jpg,n000003
n0000030005_01.jpg,n000003
n0000030006_01.jpg,n000003
n0000030007_01.jpg,n000003
n0000030008_01.jpg,n000003
n0000030009_02.jpg,n000003
n0000030010_01.jpg,n000003
n0000030011_02.jpg,n000003
n0000030012_01.jpg,n000003
n0000030013_01.jpg,n000003
n0000030014_01.jpg,n000003
n0000030015_01.jpg,n000003
n0000030016_03.jpg,n000003
n0000030017_01.jpg,n000003
n0000030018_01.jpg,n000003
n0000030019_01.jpg,n000003
n0000030020_01.jpg,n000003
n0000030021_01.jpg,n000003
n0000030022_01.jpg,n000003
n0000030023_03.jpg,n000003
n0000030024_01.jpg,n000003
n0000030025_01.jpg,n000003
n0000030026_01.jpg,n000003
n0000030027_02.jpg,n000003
n0000030028_01.jpg,n000003
n0000030029_01.jpg,n000003
n0000030030_01.jpg,n000003
n0000030031_02.jpg,n000003
n0000030032_02.jpg,n000003
n0000030033_01.jpg,n000003
n0000030034_01.jpg,n000003
n0000030035_01.jpg,n000003
n0000030036_01.jpg,n000003
n0000030037_02.jpg,n000003
n0000030038_01.jpg,n000003
n0000030038_02.jpg,n000003
n0000030039_01.jpg,n000003
n0000030040_01.jpg,n000003
n0000030041_01.jpg,n000003
n0000030042_01.jpg,n000003
n0000030043_01.jpg,n000003
n0000030044_02.jpg,n000003
n0000030045_01.jpg,n000003
n0000030046_01.jpg,n000003
n0000030047_01.jpg,n000003
n0000030048_03.jpg,n000003
n0000030049_01.jpg,n000003
n0000030050_01.jpg,n000003
n0000030051_01.jpg,n000003
n0000030052_01.jpg,n000003
n0000030053_01.jpg,n000003
n0000030054_01.jpg,n000003
n0000030055_01.jpg,n000003
n0000030056_01.jpg,n000003
n0000030057_01.jpg,n000003
n0000030058_01.jpg,n000003
n0000030059_03.jpg,n000003
n0000030060_01.jpg,n000003
n0000030061_02.jpg,n000003
n0000030062_01.jpg,n000003
n0000030063_02.jpg,n000003
n0000030064_02.jpg,n000003
n0000030065_01.jpg,n000003
n0000030066_01.jpg,n000003
n0000030067_01.jpg,n000003
n0000030068_01.jpg,n000003
n0000030069_02.jpg,n000003
n0000030070_01.jpg,n000003
n0000030071_01.jpg,n000003
n0000030072_02.jpg,n000003
n0000030073_01.jpg,n000003
n0000030074_02.jpg,n000003
n0000030075_02.jpg,n000003
n0000030076_01.jpg,n000003
n0000030077_01.jpg,n000003
n0000030078_01.jpg,n000003
n0000030079_02.jpg,n000003
n0000030080_01.jpg,n000003
n0000030081_01.jpg,n000003
n0000030082_01.jpg,n000003
n0000030083_01.jpg,n000003
n0000030084_03.jpg,n000003
n0000030085_01.jpg,n000003
n0000030086_01.jpg,n000003
n0000030087_01.jpg,n000003
n0000030088_03.jpg,n000003
n0000030089_01.jpg,n000003
n0000030090_01.jpg,n000003
n0000030091_01.jpg,n000003
n0000030092_01.jpg,n000003
n0000030093_01.jpg,n000003
n0000030094_01.jpg,n000003
n0000030095_04.jpg,n000003
n0000030096_02.jpg,n000003
n0000030097_01.jpg,n000003
